<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_parameter_reference_audit.csv>
index,Parameter,Reference_value,Units,Range_or_uncertainty,Status,Evidence_or_physiology,Audit_status,Audit_note
20,k_d_h_out,0.006,h^-1,Fixed,Assumed,Model structure; Free-drug return from healthy wall,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
21,k_d_p_in,0.006,h^-1,Fixed,Assumed,Model structure; Free-drug entry into plaque,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
22,k_d_p_out,0.003,h^-1,Fixed,Assumed,Model structure; Free-drug return from plaque,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
23,k_d_capcore,0.015,h^-1,Fixed,Assumed,Model structure; Free-drug cap-to-core transport,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
24,k_d_corecap,0.004,h^-1,Fixed,Assumed,Model structure; Free-drug core-to-cap transport,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
25,k_elim_b,0.12,h^-1,0.120; lognormal CV 0.20,Literature-informed effective,"[6-9,13-20]; Systemic free-drug elimination",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
26,k_elim_h,0.05,h^-1,Fixed,Assumed,Model structure; Healthy-wall elimination,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
27,k_elim_p,0.035,h^-1,0.035; lognormal CV 0.20,Literature-informed effective,[6-9]; Plaque free-drug elimination,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
28,k_elim_core,0.025,h^-1,Fixed,Assumed,Model structure; Core free-drug elimination,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
29,k_elim_mps,0.06,h^-1,0.060; lognormal CV 0.20,Literature-informed effective,[13-20]; MPS-associated elimination,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
30,Cap pH,6.9,-,6.60-7.05 by scenario; normal SD 0.10,Exploratory scenario input,"[2-5,28-35]; Plaque cap microenvironment",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
31,Core pH,6.7,-,6.25-6.95 by scenario; normal SD 0.12,Exploratory scenario input,"[2-5,28-35]; Plaque core microenvironment",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
32,Cap ROS,0.05,mM,0.020-0.150 by scenario; lognormal CV 0.35,Exploratory scenario input,"[2-5,27-35]; Plaque cap oxidative stimulus",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
33,Core ROS,0.1,mM,0.040-0.400 by scenario; lognormal CV 0.35,Exploratory scenario input,"[2-5,27-35]; Plaque core oxidative stimulus",PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
34,Plaque entry,0.01,h^-1,0.006-0.016 by scenario; lognormal CV 0.30,Exploratory scenario input,[28-34]; Effective plaque entry,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
35,Cap-core exchange,0.012,h^-1,0.004-0.012 by scenario; lognormal CV 0.40,Exploratory scenario input,[28-34]; Effective intraplaque exchange,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
36,ROS benchmark k0,0.3195,h^-1,Fitted; bounded 0.001-0.800,Calibrated,[25]; Baseline concentration-dependent release rate,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
37,ROS benchmark kmax,1.5,h^-1,Fitted upper bound,Calibrated / weakly identified,[25]; Maximum concentration-dependent release rate,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
38,ROS benchmark K,8.4957,mM,Fitted,Calibrated,[25]; Half-activation of rate response,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
39,ROS benchmark Hill n,4.0,-,Fitted upper bound,Calibrated / weakly identified,[25]; Shape of ROS rate response,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
40,ROS benchmark F0,0.134,-,Fitted,Calibrated,[25]; Baseline release fraction,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
41,ROS benchmark amplitude,0.8,-,Fitted upper bound,Calibrated / weakly identified,[25]; Concentration-dependent plateau contribution,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
42,ROS benchmark K_plateau,6.1299,mM,Fitted,Calibrated,[25]; Plateau concentration dependence,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
43,ROS benchmark Hill m,1.3816,-,Fitted,Calibrated,[25]; Plateau response shape,PASS,Values/units match the final code-derived parameter table; literature citations are interpreted as biological/process support unless explicitly calibrated.
